country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Vietnam,1,2018Q2 [YR2018Q2],0,0.662461274,0.088637941,34.75780601,0.473684402,-0.594596,0
Vietnam,1,2018Q3 [YR2018Q3],0,1.286739727,0.050098254,35.6596849,0.378409887,1.04869,0
Vietnam,1,2018Q4 [YR2018Q4],0,1.91101818,0.042204919,36.48290208,0.129943576,0.958742,0
Vietnam,1,2019Q1 [YR2019Q1],0,2.424606766,0.063384527,35.19148699,0.10861624,-1.158701,0
Vietnam,1,2019Q2 [YR2019Q2],0,2.938195352,0.066739981,35.70231426,0.112847281,-1.128273,0
Vietnam,1,2019Q3 [YR2019Q3],0,3.451783938,0.021399287,35.92190957,0.21367246,0.263242,0
Vietnam,1,2019Q4 [YR2019Q4],0,3.965372524,-0.017533503,31.84958,0.412644372,1.659466,0
Vietnam,1,2020Q1 [YR2020Q1],0,4.070921305,-0.103723668,31.73156673,0.309465206,3.775599,0
Vietnam,1,2020Q2 [YR2020Q2],0,4.176470087,0.043804127,30.6137995,0.302847408,0.908431,0
Vietnam,1,2020Q3 [YR2020Q3],0,4.282018869,0.15206584,32.34268785,0.282614316,-2.583839,0
Vietnam,1,2020Q4 [YR2020Q4],0,4.38756765,0.306987512,30.28869842,0.210618698,-7.302687,0
Vietnam,1,2021Q1 [YR2021Q1],0,3.027878885,0.421741769,32.80733683,0.203627389,-5.578626,0
Vietnam,1,2021Q2 [YR2021Q2],0,1.66819012,0.130787715,35.54949713,0.196655839,-6.335616,0
Vietnam,1,2021Q3 [YR2021Q3],0,0.308501354,0.090631352,35.34799409,0.207783157,-5.278323,0
Vietnam,1,2021Q4 [YR2021Q4],0,-1.051187411,0.101400591,36.10366404,0.1532973,-4.714361,0
Thailand,2,1996Q4 [YR1996Q4],0,-8.02658795,-0.037556136,123.1606971,0.048612694,17.32975159,0
Thailand,2,1997Q1 [YR1997Q1],0,-6.522852695,-0.068403987,1.278529621,-0.022787795,21.34310473,0
Thailand,2,1997Q2 [YR1997Q2],1,-5.019117439,-0.110628433,146.8416009,-0.191450255,21.3555707,1
Thailand,2,1997Q3 [YR1997Q3],0,-3.515382184,-0.259307229,1.718968623,-0.256457731,-6.863860081,0
Thailand,2,1997Q4 [YR1997Q4],0,-2.011646929,-0.358885548,147.271925,-0.3061586,-18.31582063,0
Thailand,2,1998Q1 [YR1998Q1],1,1.623527531,-0.363947165,2.071208247,-0.274622833,-7.429560748,1
Thailand,2,1998Q2 [YR1998Q2],0,5.258701991,-0.328676588,108.8236152,-0.177805509,-5.186144113,0
Thailand,2,1998Q3 [YR1998Q3],0,8.893876451,-0.14068905,4.43599975,-0.071407571,-2.43445771,1
Thailand,2,1998Q4 [YR1998Q4],0,12.52905091,-0.036079224,86.67803814,0.101056327,3.242311459,0
Thailand,2,1999Q1 [YR1999Q1],0,11.84961119,0.08939263,3.267195458,0.086918113,2.904126885,0
